transaction_id,customer_id,customer_name,timestamp,amount_kes,transaction_type,channel
TXN1147,CUST072,Joyce Kariuki,2026-06-15 07:01:00,5400,Deposit,ATM
TXN1076,CUST030,Josephine Nyambura,2026-06-15 07:04:00,750,Deposit,Branch
TXN1136,CUST067,Rebecca Wambui,2026-06-15 07:04:00,12000,Transfer,ATM
TXN1005,CUST002,Beatrice Otieno,2026-06-15 07:06:00,500,Transfer,Branch
TXN1012,CUST004,Lucy Odhiambo,2026-06-15 07:13:00,27500,Deposit,Branch
TXN1041,CUST014,David Gathoni,2026-06-15 07:15:00,5400,Deposit,Mobile
TXN1100,CUST047,Dennis Kilonzo,2026-06-15 07:31:00,750,Transfer,Mobile
TXN1066,CUST026,Rebecca Njoki,2026-06-15 07:33:00,6700,Withdrawal,Branch
TXN1156,CUST078,Caroline Kilonzo,2026-06-15 07:38:00,3400,Deposit,Mobile
TXN1071,CUST027,Anthony Otieno,2026-06-15 07:46:00,27500,Transfer,Branch
TXN1031,CUST009,Fatuma Kariuki,2026-06-15 07:51:00,2300,Transfer,Branch
TXN1090,CUST040,John Omondi,2026-06-15 08:01:00,1200,Withdrawal,Agent
TXN1116,CUST054,Paul Chebet,2026-06-15 08:03:00,8900,Transfer,Branch
TXN1009,CUST003,Fatuma Wafula,2026-06-15 08:07:00,22000,Deposit,ATM
TXN1057,CUST022,Rebecca Mwangi,2026-06-15 08:07:00,6700,Withdrawal,Mobile
TXN1061,CUST023,Lucy Gathoni,2026-06-15 08:17:00,1200,Transfer,Branch
TXN1091,CUST040,John Omondi,2026-06-15 08:24:00,18300,Transfer,Mobile
TXN1063,CUST025,Caroline Kimani,2026-06-15 08:38:00,6700,Withdrawal,Agent
TXN1098,CUST045,Rebecca Gathoni,2026-06-15 08:38:00,3400,Deposit,Agent
TXN1007,CUST002,Beatrice Otieno,2026-06-15 08:55:00,5400,Transfer,ATM
TXN1103,CUST048,Rose Gathoni,2026-06-15 08:59:00,22000,Withdrawal,Agent
TXN1109,CUST050,Peter Wambui,2026-06-15 09:00:00,22000,Transfer,ATM
TXN1028,CUST008,Josephine Onyango,2026-06-15 09:08:00,500,Withdrawal,ATM
TXN1079,CUST033,Diana Kariuki,2026-06-15 09:17:00,18300,Withdrawal,Agent
TXN1128,CUST062,Beatrice Njeri,2026-06-15 09:21:00,34500,Withdrawal,Agent
TXN1030,CUST009,Fatuma Kariuki,2026-06-15 09:35:00,34500,Withdrawal,Mobile
TXN1127,CUST062,Beatrice Njeri,2026-06-15 09:35:00,5400,Withdrawal,Mobile
TXN1107,CUST049,Susan Njoki,2026-06-15 09:38:00,27500,Deposit,Mobile
TXN1008,CUST002,Beatrice Otieno,2026-06-15 09:40:00,750,Deposit,Agent
TXN1141,CUST070,Samuel Njoki,2026-06-15 09:40:00,750,Transfer,ATM
TXN1106,CUST049,Susan Njoki,2026-06-15 09:47:00,27500,Deposit,Agent
